Company,Business Type,County,Total Employees,Number Affected,Date of Notice,Layoff Date,Closing Date,Reason for Dislocation,Classification,Reason Stated for Filing,Union,Contact,Phone,Case_ID
,HOTEL,DUTCHESS | SSA Name: DUTCHESS | Region: HUDSON VALLEY,119,0,1/3/2005 Control Number: 2004-091,NONE,NONE,MANAGEMENT CHANGE: The employer states that it is not anticipated that a WARN triggering event will occur since the new management - NOWAB - intends to employ all workers. Notice is being given conditionally.,CONDITIONAL NOTICE,MANAGEMENT CHANGE,,ROBERT RUBENSTEIN ; 973 808-7714,,1035
KRAFT FOODS,CHEESE MANUFACTURING,CHENANGO CO.,68,68,1/11/05 Control Number: 2004-092,4/8/05,4/21/05,ECONOMIC - CLOSING OF THE YOGURT MFT. FACILITY,PLANT CLOSING,CLOSING,,GINA BECRAFT 607 847-6181,,1041
LORD & TAYLOR,RETAIL STORE,ALBANY,50,50,1/13/05 Control Number: 2004-093,BEGINNING 1/29/05,2/12/05,ECONOMIC.,PLANT CLOSING,CLOSING,---,"TOM HALPIN, VPHR 212 391-3279",,1042
SAKS FIFTH AVENUE,RETAIL STORE,NASSAU / HEMPSTEAD,107,107,1/13/05 Control Number: 2004-094,1/31/05,1/31/05,ECONOMIC,PLANT CLOSING,CLOSING,---,"LINDA HATTEN, LEGAL SVS. MGR. 205-940-4641",,1043
METROPLEX LONG ISLAND CORP.,DISTRIBUTION CTR. FOR GROCERIES,SUFFOLK | SSA Name: SUFFOLK | Region: LONG ISLAND,52,52,1/13/2005 Control Number: 2004-095,4/3/2005,9/11/2005,ECONOMIC,PLANT CLOSING,CLOSING,,JOSEPH WENDOLOWSKI,845 781-5000,1044
CLIENTLOGIC,BUSINESS SERVICES,ERIE | SSA Name: ERIE | Region: WESTERN REGION,200,200,1/18/2005 Control Number: 2004-096,3/11/2005,3/11/2005,ECONOMIC,PLANT CLOSING,CLOSING,---,GINNI GOLDSBERRY,615 301-7274,1045
"IMAGE GROUP POST, LLC
		885 SECOND AVE.
NEW YORK, NY  10017

County:		NEW YORK | SSA Name: NEW YORK CITY  | Region: NEW YORK CITY

Contact:		WILLIAM SHEEHY, PRESIDENT; Phone: 2125920600

Business Type: 	TELEPRODUCTION SERVICES PROVIDER

Number Affected:	94

Total Employees:		94

Layoff Date:	1/12/2005	

Closing Date:	1/31/2005	

Reason for Dislocation:	ECONOMIC

ERNUM:  4645545			

Classification: 	PLANT CLOSING","TELEPRODUCTION SERVICES PROVIDER

Number Affected:	94

Total Employees:		94

Layoff Date:	1/12/2005	

Closing Date:	1/31/2005	

Reason for Dislocation:	ECONOMIC

ERNUM:  4645545			

Classification: 	PLANT CLOSING","NEW YORK | SSA Name: NEW YORK CITY  | Region: NEW YORK CITY

Contact:		WILLIAM SHEEHY, PRESIDENT; Phone: 2125920600

Business Type: 	TELEPRODUCTION SERVICES PROVIDER

Number Affected:	94

Total Employees:		94

Layoff Date:	1/12/2005	

Closing Date:	1/31/2005	

Reason for Dislocation:	ECONOMIC

ERNUM:  4645545			

Classification: 	PLANT CLOSING","94

Layoff Date:	1/12/2005	

Closing Date:	1/31/2005	

Reason for Dislocation:	ECONOMIC

ERNUM:  4645545			

Classification: 	PLANT CLOSING","94

Total Employees:		94

Layoff Date:	1/12/2005	

Closing Date:	1/31/2005	

Reason for Dislocation:	ECONOMIC

ERNUM:  4645545			

Classification: 	PLANT CLOSING",,"1/12/2005	

Closing Date:	1/31/2005	

Reason for Dislocation:	ECONOMIC

ERNUM:  4645545			

Classification: 	PLANT CLOSING","1/31/2005	

Reason for Dislocation:	ECONOMIC

ERNUM:  4645545			

Classification: 	PLANT CLOSING","ECONOMIC

ERNUM:  4645545			

Classification: 	PLANT CLOSING",PLANT CLOSING,"UNIT CLOSING

Company:	IMAGE GROUP POST, LLC
		885 SECOND AVE.
NEW YORK, NY  10017

County:		NEW YORK | SSA Name: NEW YORK CITY  | Region: NEW YORK CITY

Contact:		WILLIAM SHEEHY, PRESIDENT; Phone: 2125920600

Business Type: 	TELEPRODUCTION SERVICES PROVIDER

Number Affected:	94

Total Employees:		94

Layoff Date:	1/12/2005	

Closing Date:	1/31/2005	

Reason for Dislocation:	ECONOMIC

ERNUM:  4645545			

Classification: 	PLANT CLOSING",,"WILLIAM SHEEHY, PRESIDENT; Phone: 2125920600

Business Type: 	TELEPRODUCTION SERVICES PROVIDER

Number Affected:	94

Total Employees:		94

Layoff Date:	1/12/2005	

Closing Date:	1/31/2005	

Reason for Dislocation:	ECONOMIC

ERNUM:  4645545			

Classification: 	PLANT CLOSING",,1048
"THE RELIABLE AUTOMATIC SPRINKLER CO
		525 N. MACQUESTEN PARKWAY
		
MT. VERNON, NY  10552
County:		WESTCHESTER | SSA Name: WESTCH/PTNM  | Region: HUDSON VALLEY

Contact:		JAMES J. DALY, DIR.H.R.;  9146623370

Business Type: 	MANUFACTURE OF SPRINKLERS

Number Affected:	270

Total Employees:		270

Layoff Date:	3/25/2005	

Closing Date:		

Reason for Dislocation:	ECONOMIC

ERNUM: 3771276	

Classification: 	PLANT CLOSING
------------------------------------------------

2004-099   CLOSING AT:  645 N. MACQUESTEN PKY, MT. VERNON - 112 AFFECTED

2004-100  LAYOFF AT:  103 FAIRVIEW PARK DR., ELMSFORD - 35 AFFECTED (OF 80)","MANUFACTURE OF SPRINKLERS

Number Affected:	270

Total Employees:		270

Layoff Date:	3/25/2005	

Closing Date:		

Reason for Dislocation:	ECONOMIC

ERNUM: 3771276	

Classification: 	PLANT CLOSING
------------------------------------------------

2004-099   CLOSING AT:  645 N. MACQUESTEN PKY, MT. VERNON - 112 AFFECTED

2004-100  LAYOFF AT:  103 FAIRVIEW PARK DR., ELMSFORD - 35 AFFECTED (OF 80)","WESTCHESTER | SSA Name: WESTCH/PTNM  | Region: HUDSON VALLEY

Contact:		JAMES J. DALY, DIR.H.R.;  9146623370

Business Type: 	MANUFACTURE OF SPRINKLERS

Number Affected:	270

Total Employees:		270

Layoff Date:	3/25/2005	

Closing Date:		

Reason for Dislocation:	ECONOMIC

ERNUM: 3771276	

Classification: 	PLANT CLOSING
------------------------------------------------

2004-099   CLOSING AT:  645 N. MACQUESTEN PKY, MT. VERNON - 112 AFFECTED

2004-100  LAYOFF AT:  103 FAIRVIEW PARK DR., ELMSFORD - 35 AFFECTED (OF 80)","270

Layoff Date:	3/25/2005	

Closing Date:		

Reason for Dislocation:	ECONOMIC

ERNUM: 3771276	

Classification: 	PLANT CLOSING
------------------------------------------------

2004-099   CLOSING AT:  645 N. MACQUESTEN PKY, MT. VERNON - 112 AFFECTED

2004-100  LAYOFF AT:  103 FAIRVIEW PARK DR., ELMSFORD - 35 AFFECTED (OF 80)","270

Total Employees:		270

Layoff Date:	3/25/2005	

Closing Date:		

Reason for Dislocation:	ECONOMIC

ERNUM: 3771276	

Classification: 	PLANT CLOSING
------------------------------------------------

2004-099   CLOSING AT:  645 N. MACQUESTEN PKY, MT. VERNON - 112 AFFECTED

2004-100  LAYOFF AT:  103 FAIRVIEW PARK DR., ELMSFORD - 35 AFFECTED (OF 80)",,"3/25/2005	

Closing Date:		

Reason for Dislocation:	ECONOMIC

ERNUM: 3771276	

Classification: 	PLANT CLOSING
------------------------------------------------

2004-099   CLOSING AT:  645 N. MACQUESTEN PKY, MT. VERNON - 112 AFFECTED

2004-100  LAYOFF AT:  103 FAIRVIEW PARK DR., ELMSFORD - 35 AFFECTED (OF 80)","Reason for Dislocation:	ECONOMIC

ERNUM: 3771276	

Classification: 	PLANT CLOSING
------------------------------------------------

2004-099   CLOSING AT:  645 N. MACQUESTEN PKY, MT. VERNON - 112 AFFECTED

2004-100  LAYOFF AT:  103 FAIRVIEW PARK DR., ELMSFORD - 35 AFFECTED (OF 80)","ECONOMIC

ERNUM: 3771276	

Classification: 	PLANT CLOSING
------------------------------------------------

2004-099   CLOSING AT:  645 N. MACQUESTEN PKY, MT. VERNON - 112 AFFECTED

2004-100  LAYOFF AT:  103 FAIRVIEW PARK DR., ELMSFORD - 35 AFFECTED (OF 80)","PLANT CLOSING
------------------------------------------------

2004-099   CLOSING AT:  645 N. MACQUESTEN PKY, MT. VERNON - 112 AFFECTED

2004-100  LAYOFF AT:  103 FAIRVIEW PARK DR., ELMSFORD - 35 AFFECTED (OF 80)","2 CLOSINGS AND 1 LAYOFF

2004-098:

Company:	THE RELIABLE AUTOMATIC SPRINKLER CO
		525 N. MACQUESTEN PARKWAY
		
MT. VERNON, NY  10552
County:		WESTCHESTER | SSA Name: WESTCH/PTNM  | Region: HUDSON VALLEY

Contact:		JAMES J. DALY, DIR.H.R.;  9146623370

Business Type: 	MANUFACTURE OF SPRINKLERS

Number Affected:	270

Total Employees:		270

Layoff Date:	3/25/2005	

Closing Date:		

Reason for Dislocation:	ECONOMIC

ERNUM: 3771276	

Classification: 	PLANT CLOSING
------------------------------------------------

2004-099   CLOSING AT:  645 N. MACQUESTEN PKY, MT. VERNON - 112 AFFECTED

2004-100  LAYOFF AT:  103 FAIRVIEW PARK DR., ELMSFORD - 35 AFFECTED (OF 80)",,"JAMES J. DALY, DIR.H.R.;  9146623370

Business Type: 	MANUFACTURE OF SPRINKLERS

Number Affected:	270

Total Employees:		270

Layoff Date:	3/25/2005	

Closing Date:		

Reason for Dislocation:	ECONOMIC

ERNUM: 3771276	

Classification: 	PLANT CLOSING
------------------------------------------------

2004-099   CLOSING AT:  645 N. MACQUESTEN PKY, MT. VERNON - 112 AFFECTED

2004-100  LAYOFF AT:  103 FAIRVIEW PARK DR., ELMSFORD - 35 AFFECTED (OF 80)",,1049
"A T & T
		250 S. CLINTON ST.
		SYRACUSE, NY
		ONONDAGA CO.


Contact:		DAVID E. ROOS, STATE DIR. GOVT. RELATIONS 518 463-3107

Business Type: 	COMMUNICATIONS

Number Affected:	209

Total Employees:		---

Layoff Date:	3/25/05	

Closing Date:	---	

Reason for Dislocation:	ECONOMIC - Only the call center unit is closing. Many others are employed in this location, but they were unable to give me figures on the remaining employees in the building.

ERNUM: 4584814			

Classification: 	UNIT CLOSING","COMMUNICATIONS

Number Affected:	209

Total Employees:		---

Layoff Date:	3/25/05	

Closing Date:	---	

Reason for Dislocation:	ECONOMIC - Only the call center unit is closing. Many others are employed in this location, but they were unable to give me figures on the remaining employees in the building.

ERNUM: 4584814			

Classification: 	UNIT CLOSING",,"---

Layoff Date:	3/25/05	

Closing Date:	---	

Reason for Dislocation:	ECONOMIC - Only the call center unit is closing. Many others are employed in this location, but they were unable to give me figures on the remaining employees in the building.

ERNUM: 4584814			

Classification: 	UNIT CLOSING","209

Total Employees:		---

Layoff Date:	3/25/05	

Closing Date:	---	

Reason for Dislocation:	ECONOMIC - Only the call center unit is closing. Many others are employed in this location, but they were unable to give me figures on the remaining employees in the building.

ERNUM: 4584814			

Classification: 	UNIT CLOSING",,"3/25/05	

Closing Date:	---	

Reason for Dislocation:	ECONOMIC - Only the call center unit is closing. Many others are employed in this location, but they were unable to give me figures on the remaining employees in the building.

ERNUM: 4584814			

Classification: 	UNIT CLOSING","---	

Reason for Dislocation:	ECONOMIC - Only the call center unit is closing. Many others are employed in this location, but they were unable to give me figures on the remaining employees in the building.

ERNUM: 4584814			

Classification: 	UNIT CLOSING","ECONOMIC - Only the call center unit is closing. Many others are employed in this location, but they were unable to give me figures on the remaining employees in the building.

ERNUM: 4584814			

Classification: 	UNIT CLOSING",UNIT CLOSING,"CLOSING OF THE CALL CENTER UNIT

Company:	A T & T
		250 S. CLINTON ST.
		SYRACUSE, NY
		ONONDAGA CO.


Contact:		DAVID E. ROOS, STATE DIR. GOVT. RELATIONS 518 463-3107

Business Type: 	COMMUNICATIONS

Number Affected:	209

Total Employees:		---

Layoff Date:	3/25/05	

Closing Date:	---	

Reason for Dislocation:	ECONOMIC - Only the call center unit is closing. Many others are employed in this location, but they were unable to give me figures on the remaining employees in the building.

ERNUM: 4584814			

Classification: 	UNIT CLOSING",,"DAVID E. ROOS, STATE DIR. GOVT. RELATIONS 518 463-3107

Business Type: 	COMMUNICATIONS

Number Affected:	209

Total Employees:		---

Layoff Date:	3/25/05	

Closing Date:	---	

Reason for Dislocation:	ECONOMIC - Only the call center unit is closing. Many others are employed in this location, but they were unable to give me figures on the remaining employees in the building.

ERNUM: 4584814			

Classification: 	UNIT CLOSING",,1051
,MFG. OF CERAMIC RESISTORS,,50,50,2/2/05 Control Number: 2004-102,3/21/05,3/31/05,ECONOMIC,PLANT CLOSING,UNIT CLOSING - CLOSING OF THE PRODUCTION UNIT,PACE- LO. 1-2058,BRIAN TIERNEY; 716 286-7631,,1053
