Company,Business Type,County,Total Employees,Number Affected,Date of Notice,Layoff Date,Closing Date,Reason for Dislocation,Classification,Reason Stated for Filing,Union,Contact,Case_ID
"US AIRWAYS
  LAGUARDIA INTL. AIRPORT, FLUSHING
  NEW YORK, NY 11371
  County: QUEENS | SSA Name: NEW YORK CITY | Region: NEW YORK CITY",AIRLINE,,APPROX. 600+,232,,1/7/2003,N/A,ECONOMIC,MASS LAYOFF,LAYOFF,,"JOHN M. HEDBLOM, VP EMPLOYEE RELATIONS Phone: 703 872-7406",545
"XEROX ENGINEERING SYSTEMS
  300 MAIN ST.
  ROCHESTER, NY 14445
  County: MONROE | SSA Name: MONROE | Region: FINGER LAKES",ENGINEERING COPIER SYSTEMS,,166,112,,BETWEEN 12/11/2002 - 6/28/03,N/A,ECONOMIC,MASS LAYOFF,TWO LAYOFFS,,"JAMES COSTELLO, CEO, 585 231-2586",543
"SIGNAL TRANSFORMER CO., INC.
  500 BAYVIEW AVENUE AVE.
  INWOOD, NY 11096
  County: NASSAU | SSA Name: HEMPSTEAD | Region: LONG ISLAND",MANUFACTURE OF TRANSFORMERS,,71,71,,BEGINNING BETWEEN 2/14/2003 - 2/28/03,Approximately 2/28/2003,ECONOMIC,PLANT CLOSING,SALE,"IBT, Local 810; Louis Smith, President","ANNA CICIO, DIR. H.R. , 516 239-5777",541
"QUALEX INC.
  245 COMMERCE BLVD.
  LIVERPOOL, NY 13088
  County: SYRACUSE | SSA Name: ONONDAGA | Region: CENTRAL REGION",PHOTO PROCESSING,,132,132,,2/28/2003,2/28/2003,ECONOMIC,PLANT CLOSING,CLOSING,,"WILLIAM MILNE, OPERATIONS MGR., 315 457-8044",540
"FEDERAL BUSINESS PRODUCTS, INC.
  (FEDERAL DIRECT)
  50 RAMLAND ROAD
  ORANGEBURG, NY 
  County: ROCKLAND | SSA Name: ROCKLAND | Region: HUDSON VALLEY",DIRECT MAIL ADVERTISING SERVICES,,68,68,,BEGINNING 3/6/2003,3/20/2003,ECONOMIC,PLANT CLOSING,CLOSING,NONE,"LAWRENCE A. MERSE, 973 667-9800",539
"FOSTER WHEELER ENERGY CORP.
  9431 FOSTER WHEELER RD.
  DANSVILLE, NY 14437
  County: LIVINGSTON | SSA Name: GLOW | Region: FINGER LAKES",MANUFACTURE OF HEATING APPARATUS,,141,141,,,,ECONOMIC,PLANT CLOSING,PLANT CLOSING,,"FRANCIS S. ARGENTIERI, 585 335-0220",538
"AKZO NOBEL POLYMER CHEMICALS
  2153 LOCKPORT-OLCOTT ROAD
  BURT, NY 14028
  County: NIAGARA | SSA Name: NIAGARA | Region: WESTERN REGION",MANUFACTURE OF CHEMICALS,,57,"45 (8 WILL BE RETAINED IN THE WAREHOUSE OPERATION;
  4 WILL RELOCATE)",,BEGINNING 1/27/2003,4/30/2003,ECONOMIC,PLANT CLOSING,PLANT CLOSING,"PACE LO. 1-00277; RALPH KRIEGER, 263 EXCHANGE ST., ALDEN, NY 14004","JOHN JANISZEWSKI, MGR. H.R., 716 778-8554",535
"WEST MILL CLOTHES, INC.
  57-07 31ST AVENUE
  WOODSIDE, NY 11377
  County: QUEENS | SSA Name: NEW YORK CITY | Region: NEW YORK CITY",CLOTHING MANUFACTURE,,155,APPROX. 55,,2/7/2003 - 2/21/03,N/A,ECONOMIC,MASS LAYOFF,LAYOFF,"UNITE, 31-35 W. 15TH ST., NYC 10011","CLIFFORD ALAN GOODMAN, DIR. H.R. , 718 204-6640",533
"PEARSON EDUCATION
  110 BROOKHILL DRIVE
  WEST NYACK, NY 10994
  County: ROCKLAND | SSA Name: ROCKLAND | Region: HUDSON VALLEY",PUBLISHING,,323,323,,2/28/2003,2/28/2003,ECONOMIC,PLANT CLOSING,CLOSING,,"CHERYL A. GAYSER, 845 353-8849",532
"DELTA AIR LINES, INC.
  JFK INTL. AIRPORT
  NEW YORK, NY 
  County: NEW YORK | SSA Name: NEW YORK CITY | Region: NEW YORK CITY",AIRLINE,,APPROX. 2000,235,,1/15/2003,N/A,ECONOMIC,OTHER,LAYOFF OF CUSTOMER SERVICE AGENTS,,"CYNTHIA PER-LEE, MANAGING DIR., 404 715-9637",531
"U S AIRWAYS
  BUFFALO NIAGRA INTL. AIRPORT
  BUFFALO, NY 14225
  County: ERIE | SSA Name: ERIE | Region: WESTERN REGION",AIRLINE,,122,36,,10/31/2002,N/A,ECONOMIC - Chapter 11 Bankruptcy,OTHER,LAYOFF,,"YULANDA SCOTT, Phone: 703 872-7406",530
"ALTX, INC.
  201 SPRING STREET ROAD
  WATERVLIET, NY 12189
  County: ALBANY | SSA Name: CAPITAL DISTRICT | Region: CAPITAL DISTRICT",STEEL WORKS,,90,90,,11/30/2002,11/30/2002,ECONOMIC,PLANT CLOSING,CLOSING,USW LO. 4867; RICHARD KNOWLES,"RUFINO ORCE, PRES., CEO, 518 273-4110",529
