Company,Business Type,County,Total Employees,Number Affected,Date of Notice,Layoff Date,Closing Date,Reason for Dislocation,Classification,Reason Stated for Filing,Union,Contact,Phone,Case_ID
,Child and Youth Services,Westchester | WIB Name: WESTCH/PTNM| Region: Mid-Hudson Region,-----,57,12/28/2010,Separations will occur during the 14 day period commencing on 4/1/2011,-----,Funding cuts,Plant Layoffs,Plant Layoffs,The affected employees are not represented by any union.,"Myra Gray, Assistant Executive Director of Human Resources",(914) 591-7300,2970
,Pharmaceuticals,Clinton | WIB Name: C-E-F-H| Region: North Country Region,-----,27 at both site locations,12/28/2010,3/25/2010,3/31/2010,Economic,Plant Closing,Plant Closing,Local 95c International Chemical Workers Union/UFCW,"Elaine Reynolds, Director, Human Resources",(518) 297-1697,2969
,Music Production,New York | WIB Name: NEW YORK CITY | Region: New York City,288,8,12/27/2010,3/31/2011,-----,Economic,Plant Layoff,Plant Layoff,Affected employees are not represented by a union and there are no bumping rights.,"Fernando Carbonell, Vice President, Human Resources",(212) 333-8156,2968
,Manufacturer of photovoltaic cells for the solar industry,Dutchess | WIB Name: DUTCHESS| Region: Mid-Hudson Region,117,117,12/21/2010,Layoffs begin during a 2-week period commencing on 3/20/2011.,4/4/2011,Economic,Plant Closing,Plant Closing,The affected employees have no bumping rights and are not represented by any union.,"Adrienne Rosenfeld, Human Resources Manager",(845) 440-2131,2966
,Financial Institution,Oneida | WIB Name: HMO| Region: Mohawk Valley Region,-----,43,12/20/2010,Will begin on 3/25/2011 and conclude by approximately 5/15/2011.,-----,Economic,Plant Layoff,Plant Layoff,Bumping rights do not exist.,"Shelley Guyette, VP Human Resources",(413) 236-3155,2964
,Supermarket,,47,47,12/16/2010,3/18/2011,3/18/2011,Sale,Plant Closing,Plant Closing,"Local 1500, UFCW; Local 342, UFCW","Laurence Garber, President",(516) 295-3300,2962
,Drug Store/Pharmacy,Oneida | WIB Name: HMO| Region: Mohawk Valley Region,74,74,12/14/2010,-----,3/11/2011,Economic,Plant Closing,Plant Closing,"None of the affected employees are represented by a union, and none have bumping rights.","Thomas N Masters, Northeast Division Human Resource Director",(856) 482-5785,2960
,Distribution Center,Onondaga | WIB Name: ONONDAGA| Region: Central Region,39,39,12/13/2010,-----,3/18/2011,Economic,Plant Unit Closing,Plant Unit Closing,IUE/CWA,"Julie Colavencenzo, Director of Human Resources",(315) 945-0741,2958
,Drug Store/Pharmacy,Dutchess | WIB Name: DUTCHESS| Region: Mid-Hudson Region,48,48,12/13/2010,-----,3/11/2011,Economic,Plant Closing,Plant Closing,None of the affected employees are represented by a union and none have bumping rights.,"Thomas N Masters, Northeast Division Human Resource Director",(856) 482-5785,2957
,Medical Center,New York | WIB: NEW YORK CITY| Region: NEW YORK CITY,-----,250 at both sites,12/10/2010,"Layoff dates postponed, employees will be released on various dates through 6/30/2011. In this update 25 employees layoffs were postponed beginning on 12/31/2010 through 6/30/2011.",No exact closing date given at this time.,Economic,Plant Closing,Plant Closing,"There may be bumping rights with respect to the affected bargaining units initially selected for separation to retain employment. Due to the closure of these facilities, only limited bumping options will be made.","Francesca Tinti, Human Resources",(212) 356-4415,2955
