Company,Business Type,County,Total Employees,Number Affected,Date of Notice,Layoff Date,Closing Date,Reason for Dislocation,Classification,Reason Stated for Filing,Union,Contact,Phone,FEIN NUM,Event Number,Case_ID
"Timeless Décor, LLC (LCO Destiny DBA Timeless Frames) 22419 Fisher Road Watertown, NY 13601",A supplier of Picture Frames,Jefferson | WDB Name: JEFF/LEWIS | Region: North Country,81,45,12/24/2019,"The date of the first separation of employees was December 23, 2019.",-----,Economic,Plant layoff,Plant Layoff,The employees are not represented by a union.,"Kathy Watson, Director of Human Resources",(315) 782-5759,83-0441928,2019-0198,7048
"Barneys New York 575 5th Avenue New York, NY 10017",Retail,New York | WDB Name: NEW YORK CITY | Region: New York CityCounty: Orange | WDB Name: ORANGE | Region: Mid-Hudson County: Queens | WDB Name: NEW YORK CITY | Region: New York City,165,165,10/16/2019Amendment: 12/23/2019,"Employment terminations extended from December 15, 2019 (or a date within 14 days thereafter) to as early as December 31, 2019 (or a date within 14 days thereafter), January 15, 2020 (or a date within 14 days thereafter), February 1, 2020 (or a date within 14 days thereafter) for the employees located at 575 5th Avenue, New York, NY 10017 and as early as February 1, 2020 (or a date within 14 days thereafter) for the employees located at 660 Madison Avenue, New York, NY 10065; 101 7th Avenue, New York, NY 10011; and 240 Hudson Valley District, Suite 240, Central Valley, NY 10917.","December 31, 2019",Economic,Plant Closing,Plant Closing,New York New Jersey Regional Joint Board Workers United A/W SEIU,"Grace Fu, Executive VP of Human Resources, General Counsel & Secretary, Barneys New York",(212) 450-8606,13-4942980,2019-0102,7047
"Regeneron Healthcare Solutions, Inc., a wholly owned subsidiary of Regeneron Pharmaceuticals, Inc. 1 Rockwood Rd. Sleepy Hollow, NY 10591",Biotechnology company,Westchester | WDB Name: WESTCH/PTNM | Region: Mid-Hudson,-----,15,12/20/2019,2/18/2020,-----,Termination of all field and supporting staff associated with one of their products.,Plant Unit Closing,Plant Unit Closing,The employees are not represented by a union.,"Larry Bliss, Senior Director, Assistant General Counsel, Employment Law",(914) 847-7128,47-2092474,2019-0197,7045
"Somos Healthcare Providers, Inc. 519 Eighth Avenue, 14th Floor New York, NY 10118",Community care and advocate community provider,New York | WDB Name: NEW YORK CITY | Region: New York City,130,130,10/7/2019  Amendment: 12/20/2019,"Separations have been extended from January 5, 2020 or within the fourteen (14) day period commencing on this date to March 31, 2020 or within the fourteen (14) day period commencing on this date.","January 5, 2020",New York State contract expired,Plant Closing,Plant Closing,The employees are not represented by a union.,"Liz Webb, VP of Human Resources",(516) 642-4068,47-2528627,2019-0092,7044
"General Parts Distribution, LLC d/b/a Carquest Auto Parts 215 Business Park Drive Armonk, NY 10504",Auto parts distribution,Westchester | WDB Name: WESTCH/PTNM | Region: Mid-Hudson,80,80,9/18/2019Amendment: 12/20/2019,"Of the 80 impacted employees, 43 employee separations have been extended from December 31, 2019 to March 31, 2020.","December 31, 2019",Economic,Plant Closing,Plant Closing,Teamsters Local 202,"Connie Orzech, HR Manager-Supply Chain",(860) 375-1514,26-1470711,2019-0066,7043
"Spacious Technologies LLC subsidiary of WeWork Companies, LLC 134 Fifth Avenue New York, NY 10011",Commercial real estate company,New York | WDB Name: NEW YORK CITY | Region: New York City,48,48,12/12/2019,"March 11, 2020","March 11, 2020",Economic,Plant Closing,Plant Closing,The employees are not represented by a union.,"Kate B. Rhodes, Associate General Counsel, Employment",(646) 809-4474,84-2851303,2019-0199,7042
"WeWork Companies, Inc.  115 W 18th St. New York, NY 10011",Commercial real estate company,New York  | WDB Name: NEW YORK CITY | Region: New York City Queens |WDB Name: NEW YORK CITY  | Region: New York City,922 (total employees for all affected sites),423,11/22/2019(Amended:12/12/2019),"Separations are expected to occur on February 21, 2020, March 2, 2020 and March 11, 2020. Of the total 922 employees, 262 will be offered transitional positions to one or more third party vendors.",,Economic,Plant Layoff,Plant Layoff,The employees are not represented by a union.,"Kate B. Rhodes, Associate General Counsel, Employment",(646) 809-4474,27-3869551,2019-0147,7041
"Eastman Kodak Company (Eastman Business Park) 1669 Lake Avenue Rochester, NY 14650",Photographic equipment and Supplies,Monroe | WDB Name: MONROE | Region: Finger Lakes,-----,3,12/17/2019,"March 15, 2020",-----,Economic,Plant Layoff,Plant Layoff,The employees are not represented by a union.,"Kathleen Doyle, HR Associate, Human Resources",(585) 724-6615,16-0417150,2019-0196,7040
"Eastman Kodak Company (Kodak Office) 343 State Street Rochester, NY 14650",Photographic equipment and Supplies,Monroe | WDB Name: MONROE | Region: Finger Lakes,178,1,12/10/2019,"March 8, 2020",-----,Economic,Plant Layoff,Plant Layoff,The employee is not represented by a union.,"Kathleen Doyle, HR Associate, Human Resources",(585) 724-6615,16-0417150,2019-0195,7039
"Eyeview, Inc. 33 East 33rd Street, 6th Floor New York, NY 10016",Video marketing technology company,New York | WDB Name: NEW YORK CITY | Region: New York City,61,61,12/12/2019,12/31/2019,12/31/2019,Economic,Plant Closing,Plant Closing,The employees are not represented by a union.,"Amy Dolan, Chief People Officer",(646) 714-1855,26-1301187,2019-0194,7038
"PB&J Group, LLC (dba Candle 79) 154 East 79th Street New York, NY 10075",Organic restaurant,New York | WDB Name: NEW YORK CITY | Region: New York City,48,48,9/30/2019,12/31/2019,12/31/2019,Economic,Plant Closing,Plant Closing,The employees are not represented by a union.,"Jorge Pineda, General Manager",(718) 679-5214,13-4243814,2019-0192,7037
"Eastman Kodak Company (Kodak Office) 343 State Street Rochester, NY 14650",Photographic equipment and Supplies,Monroe | WDB Name: MONROE | Region: Finger Lakes,-----,1 (employee is a remote worker),11/19/2019,"February 16, 2020",-----,Economic,Plant Layoff,Plant Layoff,The remote employee is not represented by a union.,"Kathleen Doyle, HR Associate, Human Resources",(585) 724-6615,16-0417150,2019-0193,7036
"HCL America, Inc. 800 Phillips Road Webster, NY 14580",Leading global IT services company,Monroe | WDB Name: MONROE | Region: Finger Lakes,217,16,12/10/2019,"March 6, 2020",-----,Economic,Plant Layoff,Plant Layoff,The employees are not represented by a union.,"Ramachandran Sundararajan, Executive Vice President, HR",(908) 731-2256,-----,2019-0190,7034
"Evolent Health LLC 519 8th Ave, Suite 14 New York, NY 10018",a company providing an integrated value-based care platform for the nations leading providers and payers,New York | WDB Name: NEW YORK CITY | Region: New York City,-----,49,12/12/2019,"March 31, 2020",-----,Loss of contract with SOMOS Healthcare Providers. Inc.,Plant Layoff,Plant Layoff,The employees are not represented by a union.,"Melissa Gilliland, Senior Director, Talent",(571) 386-1990,45-3084136,2019-0189,7033
"Catholic Guardian Services 140 Casals Place, Co-Op City, Apt. 21 H Bronx, NY 10475",Human services non-profit organization with programs that help a large needy population in the New York metropolitan area.,Bronx | WDB Name: NEW YORK CITY | Region: New York CityCounty: New York | WDB Name: NEW YORK CITY | Region: New York CityCounty: Queens | WDB Name: NEW YORK CITY | Region: New York City,174 (total employees at all sites),34,9/9/2019 Amended: 12/9/2019,"The expected date of separation is January 3, 2020, or within 14 days thereafter.","January 3, 2020",Discontinuation of operations,Plant Closing,Plant Closing,United Food & Commercial Workers’ Union (UFCW) Local 888,"Sharon Torres, Assistant Executive Director of Human Resources",(212) 371-1000 Ext: 2160,13-5562186,2019-0054,7032
"GBG USA Inc. (Global Brands Group)Corporate Headquarters 350 5th Ave New York, NY 10118",Apparel store offices,New York | WDB Name: NEW YORK CITY | Region: New York City,340,83,12/9/2019,"Separations will occur between January 1, 2020 and June 30, 2020.",-----,Economic,Plant Layoff,Plant Layoff,The employees are not represented by a union.,"Robyn Berenblat, Director, Human Resources",(646) 839-7614,94-3032467,2019-0186,7031
"Castelli America, LLC 5151, 5152, 5183 Fairbanks Road and 5185 Route 474, Harmony, New York 14710(also known as 5185 Route 474, Ashville, New York 14710)",Cheese manufacturer,Chautauqua |WDB Name: CHAUTAUQUA | Region: Western,68,68,12/11/2019,"December 6, 2019","December 6, 2019",Economic,Plant Closing,Plant Closing,The employees are not represented by a union.,"Donald Butler, Plant General Manager",(716) 782-2101,81-2818709,2019-0188,7030
"Gibsons Bar and Steakhouse (at the Polo Bar Ralph Lauren) 1 E. 55th Street New York, NY 10022",Restaurant,New York | WDB Name: NEW YORK CITY | Region: New York City,156,156,12/6/2019,"Separations will occur during the 14-day period starting on February 1, 2020.","February 1, 2020",Gibsons Bar and Steakhouse is ceasing its operations at the Polo Bar Ralph Lauren.,Plant Closing,Plant Closing,The employees are not represented by a union.,"Rebecca Brzeczek, Vice President of Human Resources",(312) 587-0575 Ext: 1122,-----,2019-0185,7029
"Brooks-TLC Hospital System, Inc., TLC Health Network Campus 845 Routes 5 & 20 (Main Road) Irving, NY 14081",Acute Care Hospital,Chautauqua | WDB Name: CHAUTAUQUA | Region: Western,201,201,12/5/2019,"December 3, 2019 – March 2, 2020","January 1, 2020",Economic,Plant Closing,Plant Closing,1199 SEIU United Healthcare Workers East,"Tracie Luther, Director, Human Resources",(716) 363-7263,16-0743301,2019-0184,7028
"Quality Frozen Foods, Inc. 1663 62nd Street Brooklyn, NY 11204",Wholesale grocer,Brooklyn | WDB Name: NEW YORK CITY | Region: New York City,82,82,12/5/2019,"Separations will occur during the 14-day period commencing on March 4, 2020.","March 4, 2020",Sale of the business,Plant Closing,Plant Closing,Teamsters Local 707,"Matis Soffer, Chief Executive Officer",(718) 256-9100,11-2409504,2019-0182,7026
"Crystal Run Health Plan, LLC (Phase 3) 109 Rykowski Lane Middletown, NY 10941",Health Plans,Orange | WDB Name: ORANGE | Region: Mid-Hudson,18,4,12/6/2019,"Separations are expected to commence during the 14-day period starting on March 6, 2020.",5/31/2022,Economic,Plant Closing,Plant Closing,The employees are not represented by a union.,"Mary DeFreitas, Chief Human Resource Officer",(845) 703-6106,46-1206022,2019-0183,7025
"WeWork Companies, Inc. 115 W 18th St. New York, NY 10011",Commercial real estate company,New York | WDB Name: NEW YORK CITY | Region: New York City Queens | WDB Name: NEW YORK CITY | Region: New York City,911 (total employees for all affected sites),414,11/22/2019Amended: 12/3/2019,"Separations are expected to occur on February 21, 2020 and March 2, 2020. Of the total 911 employees, 262 will be offered transitional positions to one or more third party vendors.",-----,Economic,Plant Layoff,Plant Layoff,The employees are not represented by a union.,"Kate B. Rhodes, Associate General Counsel, Employment",(646) 809-4474,27-3869551,2019-0147,7024
"HCL America, Inc. 800 Phillips Road Webster, NY 14580",Leading global IT services company,Monroe | WDB Name: MONROE | Region: Finger Lakes,-----,11,11/27/2019,1/16/2020 (1 affected employee); 1/20/2020 (1 affected employee); 2/10/2010 (8 affected employees); and 2/26/2020 (6 affected employees).,-----,Economic,Plant Layoff,Plant Layoff,The employees are not represented by a union.,"Ramachandran Sundararajan, Executive Vice President - HR",(908) 731-2256,-----,2019-0181,7023
"GL&V USA, Inc. (Part of Valmet) 27 Allen Street Hudson Falls, NY 12839",Paper mill machinery manufacturer,Washington | WDB Name: SAR/WAR/WAS | Region: Capital,40,40,12/4/2019,"Layoffs will occur in waves beginning on March 3, 2020 and continuing through December 31, 2020.","December 31, 2020",Economic,Plant Closing,Plant Closing,The employees are not represented by a union.,"Ivy Sweet, Human Resources",(518) 747-1367,58-2517780,2019-0180,7022
"KIK Custom Products 935 East Hiawatha Blvd.Syracuse, NY 13208",Packaging and labeling services,Onondaga | WDB Name: ONONDAGA | Region: Central,38,27,12/3/2019,"The layoffs to begin on December 20, 2019, or within a fourteen (14) day period beginning on that date, but completed in phases based on exiting volume, with the last anticipated end date being March 31, 2020.",-----,Significant reduction in production,Plant Layoff,Plant Layoff,The employees are not represented by a union.,"Sandra Alexander, Human Resource Manager",(337) 421-6011,16-1074992,2019-0178,7021
