Company,Business Type,County,Total Employees,Number Affected,Date of Notice,Layoff Date,Closing Date,Reason for Dislocation,Classification,Reason Stated for Filing,Union,Contact,Case_ID
"KODAK - EASTMAN KODAK COMPANY
  1669 LAKE AVENUE
  ROCHESTER, NY 14652
  County: MONROE | SSA Name: MONROE | Region: FINGER LAKES","PHOTOGRAPHY EQUIPMENT, COPIERS, ETC.",,Several thousand,688,,BEGINNING 1/27/2004 - 2/5/04,N/A,ECONOMIC,MASS LAYOFF,LAYOFF,,"JAMES E. RANCOURT, DIR. H.R., US & CANADA 585 724-2513",785
"AVAYA LLC
  6000 NEW HORIZON BLVD.
  AMITYVILLE, NY 11701
  County: SUFFOLK | SSA Name: SUFFOLK | Region: LONG ISLAND",COMMUNICATIONS,,---,161,,2/14/2003,N/A,ECONOMIC,---,2 LAYOFFS,,"MICHELE RICHTER, SR. MANAGER, 8864735092",784
"INTERNATIONAL PAPER
  1422 LONG MEADOW ROAD
  TUXEDO, NY 10987
  County: ORANGE | SSA Name: ORANGE | Region: HUDSON VALLEY",PAPER RESEARCH CENTER,,64,64,,7/31/2004,7/31/2004,ECONOMIC – Closing of the Paper Research Center,PLANT CLOS. (UNIT),CLOSING OF RESEARCH CENTER UNIT,---,"JOHN NELSON BUSINESS HR, 513 248-6622",783
"SAGE ENTERPRISES, INC.
  60 DAVIDS DRIVE
  HAUPPAUGE, NY 11788
  County: SUFFOLK | SSA Name: SUFFOLK | Region: LONG ISLAND",AIRLINE FOOD DISTRIBUTION,,12,12,,Approx. 1/24/2004,Approx. 1/24/2004,ECONOMIC,OTHER,UNIT CLOSING,,"GALE NICHOLAS, DIR. H.R., 847 827-0066",782
"WACHOVIA CORPORATION
  199 WATER ST. 
  SEAPORT PLAZA
  NEW YORK, NY 10007
  County: NEW YORK | SSA Name: NEW YORK CITY | Region: NEW YORK CITY",FINANCIAL SERVICES,,61,61,,Beginning 9/24/2003,12/31/2004,ECONOMIC,PLANT CLOS. (UNIT),UNIT DISLOCATION,---,"TANITA TOLIVER, EMPLOYEE RELATIONS, 919 852-8748",778
"TESA TAPE, INC.
  135 CROTTY RD.
  MIDDLETOWN, NY 10941
  County: ORANGE | SSA Name: ORANGE | Region: HUDSON VALLEY",MANUFACTURING OF TAPE,,122,122,,2/1/2004,2/1/2004,PENDING SALE OF COMPANY,PLANT CLOSING,POSSIBLE CLOSING,"AFL-CIO; SEIU, LO. 200","CHARMAINE NEPHEW, VPHR, 704 553-4640",776
"AMERICAN SUGAR REFINING, INC.
  266 KENT AVENUE
  BROOKLYN, NY 11211
  County: KINGS | SSA Name: NEW YORK CITY | Region: NEW YORK CITY",REFINERY,,216,216,,1/31/2004,1/31/2004,ECONOMIC,PLANT CLOSING,CLOSING,SEIU; IUE; IBEW,"DONALD W. BRAINARD, VPHR , 914 709-8010",775
"AMBAC FINANCIAL GROUP, INC.
  905 MARCONI AVE.
  RONKONKOMA, NY 
  County: SUFFOLK | SSA Name: SUFFOLK | Region: LONG ISLAND",FINANCIAL,,76,TO BE DETERMINED,,2/4/2004,2/4/04 IF SALE OCCURS,"SALE: The company assets may be sold to PFM Asset Mgmt.. 
  
  If this occurs this location will close, but PFM may lease the facility and 
  hire some of
  the employees.",OTHER- CONDITIONAL NOTICE,"CONDITIONAL NOTICE IN ADVANCE OF 
  POSSIBLE SALE OF THE COMPANY",,"GREGG L. BIENSTOCK, MANAGING DIR., 631 580-6227",774
"RMA- RISK MANAGEMENT ALTERNATIVES
  2420 SWEET HOME ROAD, STE. 150
  AMHERST, NY 14228
  County: ERIE | SSA Name: ERIE | Region: WESTERN REGION",FINANCIAL,,52,52,,1/16/2004,1/19/2004,ECONOMIC,PLANT CLOSING,CLOSING,,"TOMMY ZIELINSKI, VPHR, 770 925-5109",773
"TROY SAVINGS BANK
  433 RIVER STREET
  TROY, NY 12180
  County: RENSSELAER | SSA Name: CAPITAL DISTRICT | Region: CAPITAL DISTRICT",BANK,,141,95,,1/16/2004,,MERGER WITH FIRST NIAGARA BANK,"MASS LAYOFF
  ----------------------------------------------------------
  ADDITIONAL SITE:",LAYOFFS AT TWO LOCATIONS,,"EVELYN A. MORRIS, 518 270 3255",772
