Company,Business Type,County,Total Employees,Number Affected,Date of Notice,Layoff Date,Closing Date,Reason for Dislocation,Classification,Reason Stated for Filing,Union,Contact,Phone,Case_ID
"Kaye Scholer LLP425 Park AvenueNew York, NY 10022",Law firm,New York | WIB Name: NEW YORK CITY| Region: New York City,total number yet to be confirmed,6,6/20/2013Amended 12/31/2013,Between 9/3/2013 and 4/30/2014,7/31/2014,"Relocation of Administrative/Support staff to Tallahassee, Florida",Plant Unit Closing,Plant Unit Closing,None of the affected employees are members of a labor organization.,"Dana Morgan, Human Resources Manager",(212) 836-8330,4422
"Kaye Scholer LLP425 Park AvenueNew York, NY 10022",Law firm - Administrative Support Staff,New York | WIB Name: NEW YORK CITY| Region: New York City,Total number yet to be confirmed.,2,10/3/2013Amended 12/31/2013,12/31/2013; 1 employee layoff postponed to occur on 3/31/2014,7/31/2014,Relocation of administrative support function to Tallahassee Florida,Plant Unit Closing,Plant Unit Closing,None of the affected employees are members of a union.,"Dana Morgan, Human Resources Manager",(212) 836-8330,4421
"Shorefront Center for Rehabilitation & Nursing Care3015 W. 29th StreetBrooklyn, NY 11224",Nursing Home,Kings | WIB Name: NEW YORK CITY| Region: New York City,482,482,12/30/2013,Undetermined at this time.,Anticipated to occur on 3/31//2014.,Sale of Business,Plant Closing,Plant Closing,1199 SEIU,"Elliot Brooks, Senior Vice President, HR",(718) 630-2555,4420
"Loehmann's, Inc.2500 Halsey StreetBronx, NY 10461",Corporate office,Bronx | WIB Name: NEW YORK CITY| Region: New York City,123,63,12/17/2013Amended 12/30/2013,Began on 10/30/2013 and have occurred in phases through 2/2/2014 until windown of operations is complete.,2/28/2014,Bankruptcy-sale of assets,Plant Closing,Plant Closing,There are no bumping rights.,"Nancy Straface, Senior Vice President",(718) 430-5308,4419
"Diamond Back GroupEastman Kodak CorporationRochester, NY",Janitorial Services,Monroe | WIB Name: MONROE| Region: Finger Lakes Region,45,45,12/23/2013,-----,12/31/2013,Contract Termination,Plant Closing,Plant Closing,Bumping rights do not exist.,Ted Nall,(713) 267-9381,4418
"St Francis Hospital and Health Centers – Main Hospital 241 North RoadPoughkeepsie, NY 12601",Hospital and Health Centers,Dutchess| WIB Name: DUTCHESS/PUTNAM| Region: Mid-Hudson RegionUlster | WIB Name: ULSTER| Region: Mid-Hudson Region,1141,1141,12/26/2013,To commence on 3/20/2014 or within 14 days thereafter,4/4/2014,Economic,Plant Closing,Plant Closing,"Service Employees International Union (SEIU), 1199 United Healthcare Workers East","George M. Prisco, Vice President, Human Resources",(845) 431-8127,4417
"Hakkasan NYC, LLC311 W. 43rd StreetNew York, NY 10036",Restaurant,New York | WIB Name: NEW YORK CITY| Region: New York City,138,138,10/3/2013,1/4/2014,-----,"Restaurant will not close, but will be managed by another employer.",Plant Layoff,Plant Layoff,The affected employees do not belong to a union.,"Kaitlin Barry, Human Resources Manager",(415) 852-7958,4416
"Reliant Transportation, Inc.297 Norman AvenueBrooklyn, NY 11222",Transportation,Kings | WIB Name: NEW YORK CITY | Region: New York City,847,847,12/20/2013,-----,To be determined,Reassigning routes to All American School Bus Corp,Plant Closing,Plant Closing,"Local Union #1181-1061 Amalgamated Transit Union, AFL-CIO","Adem Adem, North East Vice-Resident MV Transportation",(347) 739-0205,4415
"Smithfield Associates LLC-Pastis Restaurant9 Ninth AvenueNew York, NY 10014",Restaurant,New York | WIB Name: NEW YORK CITY | Region: New York City,200,200,9/30/2013Amended: 12/26/2013,-----,1/31/2014,Economic,Plant Closing,Plant Closing,There are no bumping rights.,"Yvette Rivera, Director of Human Resources",(212) 925-5340 X 255,4413
"Friendly's Foods LLC dba Pulino's Bar & Pizzeria282 BoweryNew York, NY 10012",Restaurant,New York | WIB Name: NEW YORK CITY | Region: New York City,61,61,10/7/2013Amended: 12/26/2013,"All affected employees will be terminated on January 5, 2014.",12/29/2013,Economic,Plant Closing,Plant Closing,Affected employees are not represented by a union.,"Yvette Rivera, Director of Human Resources",(212) 925-5340,4412
"Circor Flow Technologies Spence Engineering Company150 Coldenham RoadWalden, NY 12586",Manufacturer of steam specialty & fluid control devices,Orange | WIB Name: ORANGE | Region: Mid-Hudson Region,91,55,8/19/2013  Amended: 12/23/2013,To occur between 11/30/2013 and 3/31/2014.,-----,Economic,Plant Layoff,Plant Layoff,International Association of Machinist and Aerospace Workers Union (IAM),Sharon Bruel,(845) 778-6232,4410
"Eastman Kodak Company (Eastman Park)1669 Lake AvenueRochester, NY 14650",Photographic equipment and Supplies,Monroe | WIB Name: MONROE | Region: Finger Lakes Region,-----,3,12/19/2013,3/13/2014,-----,Economic,Plant Layoff,Plant Layoff,There is no employee representative of record.,"Mary C. Lazzar-Whyte, Director, HR Americas Employee Services",(585) 781-1896,4409
"Eastman Kodak Kodak Office343 State StreetRochester, NY 14650",Photographic equipment and supplies,Monroe | WIB Name: MONROE | Region: Finger Lakes Region,-----,4,11/29/2013  Revised: 12/19/2013,2/11/2014,-----,Economic,Plant Layoff,Plant Layoff,There is no employee representative of record.,"Mary C. Lazzar-Whyte, Director, HR Americas Employee Services",(585) 781-1896,4408
"Delaware North Companies Travel Hospitality Services, Inc.Syracuse Hancock International Airport, 1000 Colonel Eileen Collins BoulevardN. Syracuse, NY 13212",Food and Beverage Concessions,Onondaga | WIB Name: ONONDAGA| Region: Central Region,80,80,12/17/2013Amended 12/18/2013,-----,3/31/2014,Expired lease agreement,Plant Closing,Plant Closing,UNITE HERE,"Justine Moretta, HR Business Partner",(716) 858-5083,4407
