Company,Business Type,County,Total Employees,Number Affected,Date of Notice,Layoff Date,Closing Date,Reason for Dislocation,Classification,Reason Stated for Filing,Union,Contact,Phone,Event Number,Case_ID
"ResCare Workforce Services TANF Support Operations 741 Flushing Ave, 3rd and 4th  Floor Brooklyn, NY 11206",Social  services assistance for the State through the facilitation of the TANF program.,Kings | WIB Name: NEW YORK CITY | Region: New York City,40 (total employees at the two locations),28,12/21/2016Amended: 12/30/2016,3/31/2017,3/31/2017,Loss of contractual agreement,Plant Closing,Plant Closing,The affected  workers are not represented by a Union.,"Tabiatha A. Ford, Regional Human Resource Manager",(610) 574-5428,2016-0108,5783
"Prestige Industries LLC81 Saxon AvenueBay Shore, NY 11706",Commercial laundry service provider,Suffolk | WIB Name: SUFFOLK | Region: Long Island,141,141,12/28/2016,1/2/2017,1/2/2017,Unexpected collapse of the tunnel washer system.,Plant Closing,Plant Closing,"Local 1964 International Longshoremen's Association, AFL-CIO","Janette Williamson, Human Resources",(646) 710-4722,2016-0113,5782
"Sears, Roebuck and Co., Store# 2134 & 62362000 Walden AveCheektowaga, NY 14225",Retail store and Automotive Center,Erie | WIB Name: ERIE | Region: Western Region,76,76,12/27/2016,Terminations will occur during the 14-day period beginning 4/9/2017.,4/9/2017,Economic,Plant Closing,Plant Closing,The affected workers are not represented by a Union.,"Tanya Rowe-Hill, Regional HR Director",(706) 342-6970,2016-0117,5781
"Sears, Roebuck and Co., Store# 1162 & 26211261 Niagara Falls BlvdAmherst, NY 14226",Retail store and Automotive Center,Erie | WIB Name: ERIE | Region: Western Region,105,105,12/27/2016,Terminations will occur during the 14-day period beginning 4/9/2017.,4/9/2017,Economic,Plant Closing,Plant Closing,The affected workers are not represented by a Union.,"Tanya Rowe-Hill, Regional HR Director",(706) 342-6970,2016-0116,5780
"Sears, Roebuck and Co., Store# 1323 & 63241 N Galleria Dr., Ste 144Middletown, NY 10941",Retail store and Automotive Center,Orange | WIB Name: ORANGE | Region: Mid-Hudson Region,96,96,12/27/2016,Terminations will occur during the 14-day period beginning 4/9/2017.,4/9/2017,Economic,Plant Closing,Plant Closing,The affected workers are not represented by a Union.,"Tanya Rowe-Hill, Regional HR Director",(706) 342-6970,2016-0115,5779
"Sears, Roebuck and Co., Store # 154496-05 Queens BlvdRego Park, NY 11374",Retail store,Queens | WIB Name: NEW YORK CITY | Region: New York City,200,200,12/27/2016,Terminations will occur during the 14-day period beginning 4/9/2017.,4/9/2017,Economic,Plant Closing,Plant Closing,The affected workers are not represented by a Union.,"Tanya Rowe-Hill, Regional HR Director",(706) 342-6970,2016-0114,5778
"Marriott International, Inc. (StarLab Operations)417 5th Avenue, 9th FloorNew York, NY 10016",Office and R&D Center,New York | WIB Name: NEW YORK CITY | Region: New York City,-----,15,12/28/2016,3/31/2017,-----,Reorganization of operations,Plant Layoff,Plant Layoff,The affected workers are not represented by a Union.,"Jennifer Royal, Vice President, Human Resources",(203) 351-3557,2016-0118,5777
"Gracious Home1992 BroadwayNew York, NY 10023",Home goods retail,New York | WIB Name: NEW YORK CITY | Region: New York City,142 (total number afftected for all three sites) Thirty-three (33) of the affected workers will be transferred to either 1201 or 1220 Third Avenue site.,43,12/13/2016,12/17/2016,12/17/2016,Economic,Plant Closing,Plant Closing,The affected workers are not represented by a Union.,"Jenna Everhart, Director, Human Resources",(212) 606-4873,2016-0110,5776
"ResCare Workforce ServicesTANF Support Operations741 Flushing Ave, 3rd and 4th FloorBrooklyn, NY 11206",Social services assistance for the State through the facilitation of the TANF program.,Kings | WIB Name: NEW YORK CITY | Region: New York City,39 (total employees at the two locations),27,12/21/2016,3/31/2017,3/31/2017,Loss of contractual agreement,Plant Closing,Plant Closing,The affected workers are not represented by a Union.,"Tabiatha A. Ford, Regional Human Resource Manager",(610) 574-5428,2016-0108,5775
"Club Ventures Investments LLC, d/b/a David Barton Gyms4-20 Astor PlaceNew York, NY 10003",Fitness & Recreational Sports Centers,New York | WIB Name: NEW YORK CITY | Region: New York City,238 (total employees at all four locations),95,12/20/2016,12/20/2016,12/20/2016,Economic,Plant Closing,Plant Closing,None of the affected workers are represented by a Union.,"Howard Brodsky, Chief Executive Officer",(212) 675-6275,2016-0104,5773
