Company,Business Type,County,Total Employees,Number Affected,Date of Notice,Layoff Date,Closing Date,Reason for Dislocation,Classification,Reason Stated for Filing,Union,Contact,Phone,FEIN NUM,Event Number,Case_ID
"Courtyard by Marriott LaGuardia Hotel90-10 Grand Central ParkwayEast Elmhurst, NY 11368",Hotel,Queens | WDB Name: NEW YORK CITY | Region: New York City,140,140,6/28/2017Amendment: 12/29/2017,"The closure of the hotel and permanent layoff of all employees is being extended from December 31, 2017 until on or about January 14, 2018.",1/14/2018,Economic,Plant Closing,Plant Closing,"New York Hotel & Motel Trades Council, AFL-CIO","Mark Ranieri, General Manager",(718) 308-4803,,2016-0299,6168
"DynaServ Industries, Inc.5830 64th StreetMaspeth, NY 11378",Specialized Services,Queens | WDB Name: NEW YORK CITY | Region: New York City,122,77 (8 affected workers’ notices have been rescinded),9/11/2017 Rescission: 12/27/2017,"All employee separations are expected to occur during the 14-day period starting on December 11, 2017.",-----,Loss of client contract,Plant Layoff,Plant Layoff,IBEW Local 3,"Noemi Diaz, Human Resources Manager",(718) 416-0252 Ext: 6010,11-2110991,2017-0048,6167
"Eastman Kodak Company (Eastman Business Park)1669 Lake AvenueRochester, NY 14650",Photographic equipment and supplies,Monroe | WDB Name: MONROE | Region: Finger Lakes,-----,2,12/21/2017,3/20/2018,-----,Economic,Plant Layoff,Plant Layoff,The affected workers are not represented by a union.,"Pamela J. Fantauzzo, HR Specialist",(585) 724-7080,16-0417150,2017-0178,6166
"Sykes Enterprises, Incorporated 251 John James Audubon PkwyAmherst, NY 14228",Customer contact management solutions and services,Erie | WDB Name: ERIE | Region: Western,131,36,9/13/2017Amendment: 12/21/2017,Layoffs extended from 12/29/2017 to 3/31/2018.,-----,Economic,Plant Layoff,Plant Layoff,The affected workers are not represented by a union.,"Billi Peltz, Director, Area HR Service Delivery",(701) 425-7794,,2017-0055,6165
"CareConnect Insurance Company, Inc.2200 Northern BoulevardEast Hills, NY 11548",Provide health insurance,Nassau | WDB Name: OYSTER BAY | Region: Long Island,218,42,12/22/2017,Phase II separations will begin on or about 1/19/2018.,To be determined,Economic,Plant Closing,Plant Closing,The affected workers are not represented by a union.,"Carol DeSantie, Director of Human Resources",(516) 405-7925,,2017-0177,6164
"Genesee Valley Group Health Association dba Lifetime Health Medical Group(Amherst Health Center)1185 Sweet Home RoadAmherst, NY 14226",Versatile primary care health practice,Erie | WDB Name:ERIE | Region:Western Region,203,90,10/2/2017 Amended:12/22/2017,12/31/2017 (two separations extended to 3/2/2018; and two separations extended to 3/31/2018),12/31/2017,Economic,Plant Closing,Plant Closing,SEIU Local 200,"Kathryn (Katie) Smith, Manager Human Resources (585) 389-6073Lynda White, Human Resources Generalist (716) 422-2865Robert Angello, Director Talent Management and Administration (585) 402-0221",,,2017-0099,6163
"Genesee Valley Group Health Association dba Lifetime Health Medical Group(Greece Health Center)470 Long Pond RoadRochester, NY 14612",Versatile primary care health practice,Monroe | WDB Name:MONROE | Region:Finger Lakes Region,289,46,10/2/2017 Amended:12/22/2017,12/31/2017 (one separation extended to 3/31/2018),12/31/2017,Economic,Plant Closing,Plant Closing,The affected workers are not represented by a union.,"Kathryn (Katie) Smith, Manager Human Resources (585) 389-6073Lynda White, Human Resources Generalist (716) 422-2865Robert Angello, Director Talent Management and Administration (585) 402-0221",,,2017-0102,6162
"Courtyard by Marriott LaGuardia Hotel90-10 Grand Central ParkwayEast Elmhurst, NY11368",Hotel,Queens | WDB Name:NEW YORK CITY | Region: New York City,140,140,6/28/2017 Amendment: 12/3/2017,"The closure of the hotel and permanent layoff of all employees is being extended from December 3, 2017 until on or about December 31, 2017.",12/31/2017,Economic,Plant Closing,Plant Closing,"New York Hotel & Motel Trades Council, AFL-CIO","Mark Ranieri, General Manager",(718) 308-4803,,2016-0299,6161
"AVX Corporation (Olean Advanced Products)1695 Seneca AvenueOlean, NY 14760",Manufacturing ceramic capacitors,Cattaraugus | WDB Name:ALL/CAT | Region: Western Region,67,60,12/19/2017,The employee separations are expected to occur in phases. This phase three of employee separations will occur on 3/30/2018.,To be determined,Economic,Plant Closing,Plant Closing,"IBEW Local 1690, Office & Professional Employees International Union (OPEIU)",Karen Smith. Director of Corporate,(864) 228-8990,33-0379007,2017-0176,6160
"APTIM Services, LLC (@ Indian Point Energy Center)295 BroadwayBuchanan, NY 10511","Integrated maintenance services, environmental engineering and remediation",Westchester | WDB Name:WESTCH/PTNM | Region: Mid-Hudson Region,-----,73,12/20/2017,1/5/2018 – 1/12/2018,-----,Termination of contract with Entergy Operations,Plant Layoff,Plant Layoff,"Boilermakers LU#5, Carpenters LU #279, Heat & Frost Insulators LU#91, I.B.E.W.LU#3, Laborers LU #235, Operating Engineers LU #137, Painters D.C.#9. LU #113, Plumber & Steamfitter LU #21, Teamsters LU #456, Westchester Building Trades Council, Bldg and Construction Trades Dept., AFL-CIO","Casey Walker, Human Resources Manager",(225) 987-7673,72-1515465,2017-0175,6159
